Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,8711411442896,Level 02 > Common Areas (Copy 1) > Lobby,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"Stain on wall
",,,None,0.00
La Scala,8711411442934,Level 02 > Common Areas (Copy 1) > Lobby,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,Uneven finish at corners,,,None,0.00
La Scala,8711411443107,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"201D and 202D
Remove Rendering smudge from caulking",,,None,0.00
La Scala,8711411443142,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"202D
Remove rendering smudge from caulking",,,None,0.00
La Scala,8711411443206,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,Remove all plastic tapes on aluminium tubes,,,None,0.00
La Scala,8711411443234,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"203D
Rendering smudge",,,None,0.00
La Scala,8711411443334,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"203D and 204D hallway
Filling and treated as required",,,None,0.00
La Scala,8711411443370,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"204D
Rendering smudge to be removed",,,None,0.00
La Scala,8711411443427,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"204D and 205D
Patch as required",,,None,0.00
La Scala,8711411443490,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"204D and 205D 
Indentation on ceiling",,,None,0.00
La Scala,8711411443609,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"205D
Rendering smudge to be removed",,,None,0.00
La Scala,8711411443651,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"206D
Render smudge to be removed",,,None,0.00
La Scala,8711411443712,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"204D
Powder coated rubbed off",,,None,0.00
La Scala,8711411443735,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,207D plastic tape to be removed,,,None,0.00
La Scala,8711411443780,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"207D
Protrusion on ceiling",,,None,0.00
La Scala,8711411443819,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,207D and 208D plastic covers to be removed,,,None,0.00
La Scala,8711411443867,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"209D
Filling as required",,,None,0.00
La Scala,8711411443962,Level 02 > Common Areas (Copy 1) > Corridor,23/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),30/09/2014,None,Open,"210D and southern end
Patch and treat precast as required",,,None,0.00
