Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Casabella,10331432870092,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Reaping caulk joint on exterior on apt 703,,,None,0.00
Casabella,10331432870588,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Paint CFCs where scaffold handrail is touching. South East corner level 7,,,None,0.00
Casabella,10331432871278,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Clean excess paint from top of window apt 602,,,None,0.00
Casabella,10331432871638,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Paint edge of 604 balcony,,,None,0.00
Casabella,10331432872037,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Paint down pipe on east side level 5,,,None,0.00
Casabella,10331432872770,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Touch up missing paint colour to apt 503 balcony North top corner,,,None,0.00
Casabella,10331432872945,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Once concrete removed by quad form touch up of paint required.,,,None,0.00
Casabella,10331432873253,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,"Once concrete fillet has been removed by Rokez, paint touch up required. Apt 503 South",,,None,0.00
Casabella,10331432873825,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Redo paint line of colour. Make straight. Underside of balcony apt 604 South side.,,,None,0.00
Casabella,10331432876523,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Touch up paint to balcony East to apt 405 near down pipe,,,None,0.00
Casabella,10331432876986,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Touch up paint to wall. Specs of monument paint splatter all over. South East void level 4,,,None,0.00
Casabella,10331432877257,External,2015-05-29,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Paint line between colours not good. Touch up required,,,None,0.00
Casabella,10331432877309,External,2015-05-29,dpugliese,Incomplete Works,Builder,AC Group (Tony Cardillo),2015-05-30,None,Closed,Paint drenched pipe to all areas.,,,None,0.00
Casabella,10331432877427,External,2015-05-29,dpugliese,Incomplete Works,Builder,AC Group (Tony Cardillo),2015-05-30,None,Open,Touch up paint required to wall on level 2 South East void.,,,None,0.00
Casabella,10331433123806,Facade > East,2015-06-01,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-03,None,Closed,Make good caulking to South face of apt 404 near down pipe. Once caulking completed paint,,,None,0.00
Casabella,10331433124614,Facade > East,2015-06-01,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-03,None,Open,Touch up paint line between colours as dark colour is still visible. North side of column in balcony of apt 206,,,None,0.00
Casabella,10331433125528,Facade > East,2015-06-01,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-03,None,Open,Patch and make good chip in precast column in balcony of apt 106. Once patched painters to touch up in colour.,,,None,0.00
Casabella,10331433125651,Facade > East,2015-06-01,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-03,None,Open,Paint corner of precast in tea house colour outside apt 104 balcony right side,,,None,0.00
Casabella,10331433205039,Facade > West,2015-06-02,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-05,None,Closed,Patch and paint ID plate of precast panel and air holes to balcony of apt506,,,None,0.00
Casabella,10331433205135,Facade > West,2015-06-02,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-05,None,Closed,Paint fillet joint to balcony slab of apt 506 East side,,,None,0.00
Casabella,10331433205385,Facade > West,2015-06-02,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-05,None,Closed,Re caulk and paint joint at balcony apt 506 west side,,,None,0.00
Casabella,10331433205491,Facade > West,2015-06-02,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-05,None,Open,Re paint column face outside apt 409 that has excessive paint splatter.,,,None,0.00
Casabella,10331433282562,Facade > West,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-05,None,Open,Remove redundant tape from mini orb flashing west of apt 705 balcony,,,None,0.00
Casabella,10331433306701,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Paint down pipe white where white CRC sheeting is,,,None,0.00
Casabella,10331433306832,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Follow paint colour of tea house along adjacent line. Balcony to apt 603,,,None,0.00
Casabella,10331433307523,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Patch and paint crack in precast column in balcony apt 306,,,None,0.00
Casabella,10331433307832,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Caulk and paint joint to precast panel in balcony apt 106 East side,,,None,0.00
Casabella,10331433308391,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Patch and make good slab joint at level 2-3-4 in the South East void. Once patched painting required,,,None,0.00
Casabella,10331433308492,Facade > East,2015-06-03,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Make lines in colour change straight. Level 1 South East void,,,None,0.00
Casabella,10331433464962,Facade > West,2015-06-05,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Remove all excess paint from flashing in the west void at all levels,,,None,0.00
Casabella,10331433465215,Facade > West,2015-06-05,dpugliese,Defect,Builder,AC Group (Tony Cardillo),2015-06-10,None,Open,Remove all paint splatter from mini orb at all levels in west void.,,,None,0.00
Casabella,10331437630276,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Front door not painted internally,,,None,0.00
Casabella,10331437630330,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Marks on wall behind front entry door,,,None,0.00
Casabella,10331437630394,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor quality finish of nib at right hand side of laundry ,,,None,0.00
