Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,7781406158737,Level 02 > 2.04 > Kitchen,24/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),25/07/2014,None,Closed,Dent on cupboard,,,None,0.00
Edgewater,7781406159030,Level 02 > 2.04 > Kitchen,24/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),25/07/2014,None,Closed,Scratch on edge,,,None,0.00
Edgewater,7781406159515,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K) > DPS (Grant Rowberry),25/07/2014 > 24/07/2014,None > None,Closed > Closed,Fix edge on bookshelf. Fix edge at desk,,,None,0.00
Edgewater,7781406159750,Level 02 > 2.04 > Balcony,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),25/07/2014,None,Closed,Clean outside sliding door on main balcony,,,None,0.00
Edgewater,7781406159810,Level 02 > 2.04 > Balcony,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,26/07/2014,None,Closed,Scratch on bedroom 2 window frame,,,None,0.00
Edgewater,7781406160199,Level 02 > 2.04 > Bathroom,24/07/2014,peterj,Defect,Purchaser,NA,28/07/2014,None,Closed,Dint on wall under towel rail,,,None,0.00
Edgewater,7781406160470,Level 02 > 2.04 > Bedroom 2,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),26/07/2014,None,Closed,Paint inside section of sliding door,,,None,0.00
Edgewater,7781406162284,Level 03 > 3.13 > Bathroom,24/07/2014,frosselli,Defect,Purchaser,NA,30/07/2014,None,Closed,Adjust bottom vanity draw. Scratching on upper draw,,,None,0.00
Edgewater,7781406162462,Level 03 > 3.13 > Bathroom,24/07/2014,frosselli,Defect,Purchaser,NA,26/07/2014,None,Closed,Check exhaust fan noise. Is it always on?,,,None,0.00
Edgewater,7781406169553,Level 01 > 1.05 > Living,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,29/07/2014,None,Closed,Scratch on sliding door,,,None,0.00
Edgewater,7781406183860,Level 01 > 1.19 > Balcony,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,02/08/2014,None,Closed,Scratch marks on balcony door need to touch up,,,None,0.00
Edgewater,7781406184420,Level 01 > 1.19 > Kitchen,24/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),02/08/2014,None,Closed,"Marks on 2 cupboard handles in the kitchen, need to fix or replace",,,None,0.00
Edgewater,7781406244831,Level 01 > 1.18 > Kitchen,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,marks on the ceiling need to be touched up,,,None,0.00
Edgewater,7781406245082,Level 01 > 1.18 > Kitchen,25/07/2014,peterj,Defect,Purchaser,NA,31/07/2014,None,Closed,Doors too far apart. Need to be adjusted,,,None,0.00
Edgewater,7781406247056,Level 01 > 1.18 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Paint bottom of FC sheet cladding on balcony,,,None,0.00
Edgewater,7781406247837,Ground > G.03 > Bathroom,25/07/2014,alexk,Defect,Purchaser,NA,31/07/2014,None,Closed,"Apt G3 - Edge of laundry door not finished , too rough.",,,None,0.00
Edgewater,7781406253176,Level 03 > 3.10 > Entry/Hall,25/07/2014,peterj,Defect,Purchaser,Baron Forge (tiler) (Scott Kidd),31/07/2014,None,Closed,Chipped tile,,,None,0.00
Edgewater,7781406255275,Level 03 > 3.10 > Living,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Sanding above ac unit,,,None,0.00
Edgewater,7781406255377,Level 03 > 3.10 > Entry/Hall,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Entry door frame on the inside need touching up,,,None,0.00
Edgewater,7781406255475,Level 03 > 3.10 > Bathroom,25/07/2014,alexk,Defect,Purchaser,NA,31/07/2014,None,Closed,Need another coat of paint on ceiling in main bathroom ,,,None,0.00
Edgewater,7781406255888,Level 03 > 3.10 > Entry/Hall,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Wall touch ups with paint and clean,,,None,0.00
Edgewater,7781406263649,Level 02 > 2.19 > Bedroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Purchaser is not happy with paint quality at the wall-ceiling junction in the bedroom.,,,None,0.00
Edgewater,7781406263740,Level 02 > 2.19 > Bedroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Touch up paint architrave,,,None,0.00
Edgewater,7781406263930,Level 02 > 2.19 > Bedroom,25/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K) > Executive Sound & Window,31/07/2014 > 13/08/2014,None > None,Closed > Closed,Touch up to window & door frames where scratched/dinted and rivets,,,None,0.00
Edgewater,7781406264123,Level 02 > 2.19 > Bedroom,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),31/07/2014,None,Closed,Paint on carpet need to clean off,,,None,0.00
Edgewater,7781406265291,Level 02 > 2.19 > Laundry,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,picture framing at ceiling to wall junction in laundry. Need to paint,,,None,0.00
Edgewater,7781406265568,Level 02 > 2.19 > Kitchen,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),31/07/2014,None,Closed,General clean of tiles in kitchen area,,,None,0.00
Edgewater,7781406265746,Level 02 > 2.19 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),31/07/2014,None,Closed,General clean up on balcony tiles and door frames,,,None,0.00
Edgewater,7781406266145,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Paint missing behind toilet cistern,,,None,0.00
Edgewater,7781406266203,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,"Paint touch up under power point - scuff marks, scratches",,,None,0.00
Edgewater,7781406266315,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K),31/07/2014,None,Closed,Caulking not sticking to tiles under vanity,,,None,0.00
Edgewater,7781406266435,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Cut off & clean up paint around access panel,,,None,0.00
Edgewater,7781406266611,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Closed,Paint touch up on ceiling in the shower near the caulked joint,,,None,0.00
Edgewater,7781406266669,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),31/07/2014,None,Closed,Clean paint off vanity bench top,,,None,0.00
Edgewater,7781406267079,Level 02 > 2.19 > Bathroom,25/07/2014,peterj,Defect,Purchaser,Baron Forge (tiler) (Scott Kidd),01/08/2014,None,Closed,Fix up/ fill grout to tiles in shower base,,,None,0.00
Edgewater,7781406268017,Level 03 > 3.06 > Entry/Hall,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),01/08/2014,None,Closed,General clean/ mop of floor tiles,,,None,0.00
Edgewater,7781406268127,Level 03 > 3.06 > Kitchen,25/07/2014,peterj,Defect,Purchaser,Baron Forge (tiler) (Scott Kidd),01/08/2014,None,Closed,Tile chipped needs to be replaced,,,None,0.00
Edgewater,7781406268576,Level 03 > 3.06 > Bedroom 1,25/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),01/08/2014,None,Closed,Chipped corner - joinery desk,,,None,0.00
Edgewater,7781406268860,Level 03 > 3.06 > Bedroom 1,25/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),01/08/2014,None,Closed,Adjust robe doors - installed at different height,,,None,0.00
Edgewater,7781406269467,Level 03 > 3.06 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),01/08/2014,None,Closed,General clean of paint and caulking marks on door frames and window frames and tiles,,,None,0.00
Edgewater,7781406269550,Level 03 > 3.06 > Bedroom 1,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),01/08/2014,None,Closed,Clean carpet stains,,,None,0.00
Edgewater,7821382404582,Ground > G.18 > Balcony,22/10/2013,peterj,Incomplete Works,Builder,Quadform,23/10/2013,None,Closed,Slurry to be scraped and pt pockets to be filled,,,None,0.00
Edgewater,7821382404939,Ground > G.18,22/10/2013,peterj,Incomplete Works,Builder,Quadform,26/10/2013,None,Closed,Chip grind and patch pt grout tube to entry,,,None,0.00
Edgewater,7821382405280,Ground > G.13 > Entry/Hall,22/10/2013,fcefala,Defect,Builder,Quadform,24/10/2013,None,Closed,Caulk top of panel to ceiling,,,None,0.00
Edgewater,7821395185332,Ground > G.01 > Balcony,19/03/2014,peterj,Incomplete Works,Builder,Alex Kutaysov (Alex Kutaysov),20/03/2014,Backcharge,Closed,No tiles on balcony,Test defect,,None,0.00
Edgewater,7821396996302,Stairwell 1 (South) > Level 01,09/04/2014,peterj,Incomplete Works,Builder,Quadform,12/04/2014,None,Closed,Remove timber from staircase riser,,,None,0.00
Edgewater,7821396996378,Stairwell 1 (South) > Level 01,09/04/2014,peterj,Incomplete Works,Builder,Quadform,12/04/2014,None,Closed,Caulk panel to riser,,,None,0.00
Edgewater,7821396996443,Stairwell 1 (South) > Level 01,09/04/2014,peterj,Incomplete Works,Builder,Quadform,12/04/2014,None,Closed,Level top to slab,,,None,0.00
Edgewater,7821396996525,Stairwell 1 (South) > Level 01,09/04/2014,peterj,Incomplete Works,Builder,Quadform,14/04/2014,None,Closed,Sand and level top stair landing,,,None,0.00
Edgewater,7821396996598,Stairwell 1 (South) > Level 01,09/04/2014,peterj,Incomplete Works,Builder,Quadform,14/04/2014,None,Closed,Patch between stair landing and passage slab,,,None,0.00
Edgewater,7821396996704,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,15/04/2014,None,Closed,Patch between stair landing and passage slab,,,None,0.00
Edgewater,7821396996767,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,15/04/2014,None,Closed,Caul panels behind booster pipe,,,None,0.00
Edgewater,7821396996807,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,16/04/2014,None,Closed,Grind landing,,,None,0.00
Edgewater,7821396996853,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,16/04/2014,None,Closed,Sand and groove stairs,,,None,0.00
Edgewater,7821396996914,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Grind middle landing,,,None,0.00
Edgewater,7821396996961,Stairwell 1 (South) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Second stair riser sand and groove to steps,,,None,0.00
Edgewater,7821396996998,Stairwell 1 (South) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Grind landing,,,None,0.00
Edgewater,7821396997030,Stairwell 1 (South) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Patch landing to passage,,,None,0.00
Edgewater,7821396997103,Stairwell 1 (South) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Caulk panels behind riser,,,None,0.00
Edgewater,7821396997148,Stairwell 1 (South) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Grind middle landing,,,None,0.00
Edgewater,7821396997225,Stairwell 1 (South) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,17/04/2014,None,Closed,Patch ferris and caulk corner to panel,,,None,0.00
Edgewater,7821396997266,Stairwell 1 (South) > Level 04,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Grind landing,,,None,0.00
Edgewater,7821396997297,Stairwell 1 (South) > Level 04,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Patch landing to passage,,,None,0.00
Edgewater,7821396997347,Stairwell 1 (South) > Level 04,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Caulk panel behind booster riser,,,None,0.00
Edgewater,7821396999228,Stairwell 2 (North) > Level 01,09/04/2014,alexk,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Clean sofit,,,None,0.00
Edgewater,7821396999306,Stairwell 2 (North) > Level 01,09/04/2014,alexk,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Landing. Patch stitch plates,,,None,0.00
Edgewater,7821396999372,Stairwell 2 (North) > Level 01,09/04/2014,alexk,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,L1landing. Patch push and pull holes,,,None,0.00
Edgewater,7821396999432,Stairwell 2 (North) > Level 01,09/04/2014,alexk,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,L1 landing. Patch stitch plate and feral holes,,,None,0.00
Edgewater,7821396999489,Stairwell 2 (North) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Chip and patch sofit,,,None,0.00
Edgewater,7821396999542,Stairwell 2 (North) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Patch grout tubes,,,None,0.00
Edgewater,7821396999587,Stairwell 2 (North) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Patch holes to landing,,,None,0.00
Edgewater,7821396999623,Stairwell 2 (North) > Level 02,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Patch stitch plates and holes,,,None,0.00
Edgewater,7821396999679,Stairwell 2 (North) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Chip and patch sofit,,,None,0.00
Edgewater,7821396999728,Stairwell 2 (North) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Patch stitch plate and panel chips,,,None,0.00
Edgewater,7821396999765,Stairwell 2 (North) > Level 03,09/04/2014,peterj,Incomplete Works,Builder,Quadform,05/05/2014,None,Closed,Caulk panels,,,None,0.00
